Category: All categories

Month,grow vegetables: (United Kingdom),grow food: (United Kingdom),grow flowers: (United Kingdom)
2015-01,16,23,11
2015-02,18,21,17
2015-03,24,22,22
2015-04,26,22,27
2015-05,24,29,30
2015-06,18,23,26
2015-07,16,21,19
2015-08,18,20,18
2015-09,16,21,17
2015-10,13,19,11
2015-11,11,24,8
2015-12,7,17,7
2016-01,12,23,13
2016-02,18,24,14
2016-03,20,21,22
2016-04,30,24,28
2016-05,28,25,33
2016-06,17,25,25
2016-07,15,19,19
2016-08,19,16,16
2016-09,14,22,17
2016-10,12,24,12
2016-11,10,19,11
2016-12,5,12,8
2017-01,12,20,12
2017-02,22,21,20
2017-03,29,26,26
2017-04,28,23,31
2017-05,24,22,33
2017-06,22,24,26
2017-07,22,21,24
2017-08,18,17,20
2017-09,18,20,16
2017-10,14,21,11
2017-11,11,16,9
2017-12,9,15,8
2018-01,10,18,12
2018-02,14,17,16
2018-03,17,19,20
2018-04,27,22,36
2018-05,26,26,40
2018-06,17,26,36
2018-07,15,21,29
2018-08,21,17,21
2018-09,18,21,17
2018-10,15,20,14
2018-11,11,24,10
2018-12,10,17,9
2019-01,18,20,13
2019-02,25,21,22
2019-03,26,26,32
2019-04,31,26,37
2019-05,34,24,46
2019-06,18,25,41
2019-07,20,22,35
2019-08,20,21,25
2019-09,20,26,20
2019-10,15,22,11
2019-11,11,20,10
2019-12,10,18,7
2020-01,17,26,15
2020-02,19,24,21
2020-03,81,39,35
2020-04,100,56,74
2020-05,69,56,87
2020-06,50,48,70
2020-07,40,32,57
2020-08,33,24,37
2020-09,33,26,36
2020-10,24,25,17
2020-11,16,23,14
2020-12,14,22,18
2021-01,30,34,26
2021-02,37,36,45
2021-03,45,35,62
2021-04,38,35,61
2021-05,28,30,47
2021-06,27,31,49
2021-07,24,25,40
2021-08,25,25,31
2021-09,24,29,27
2021-10,17,22,18
2021-11,14,21,13
2021-12,11,21,12
2022-01,18,32,24
2022-02,22,32,34
2022-03,38,44,48
2022-04,39,39,49
2022-05,31,39,56
2022-06,29,34,47
2022-07,28,32,36
2022-08,32,28,32
2022-09,27,35,25
2022-10,23,30,20
2022-11,12,25,16
2022-12,10,22,11
